Rank,Nome,Avaliacao
899,Abomination: The Heir of Frankenstein,7.46
900,Clever Cubed,7.51
975,Roll Player Adventures,8.20
976,Condottiere,6.88
977,DinoGenics,7.63
978,Orchard: A 9 card solitaire game,7.36
979,Legendary: A Marvel Deck Building Game – Villains,7.54
980,Attika,6.99
981,Lowlands,7.40
982,Qwirkle,6.77
983,Louis XIV,7.05
984,Smash Up: Science Fiction Double Feature,7.26
985,Tiny Epic Quest,6.98
986,Snow Tails,6.97
987,Legacy of Yu,8.26
988,Zooloretto,6.80
989,Core Worlds,7.15
990,Web of Power,7.30
991,Wasteland Express Delivery Service,7.33
992,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.10
993,Meeple Circus,7.04
994,Imperial Steam,7.82
995,Santa Monica,7.19
996,Tiny Epic Dinosaurs,7.33
997,Heroscape Master Set: Swarm of the Marro,7.64
998,Concept,6.77
999,DC Deck-Building Game,7.03
1000,The Castles of Burgundy: The Card Game,6.96
