Rank,Nome,Avaliacao
332,The Great Zimbabwe,7.83
405,Downforce,7.31
406,Smartphone Inc.,7.59
161,Undaunted: Normandy,7.81
162,Istanbul,7.55
333,Tiletum,7.96
334,Acquire,7.34
407,The White Castle,7.99
408,Evolution: Climate,7.50
163,Viscounts of the West Kingdom,7.86
164,Glen More II: Chronicles,7.91
335,Exit: The Game – The Abandoned Cabin,7.43
409,Endeavor,7.38
410,Here I Stand,7.89
165,Xia: Legends of a Drift System,7.87
166,That's Pretty Clever!,7.58
336,Bunny Kingdom,7.43
337,Awkward Guests: The Walton Case,7.59
411,King of Tokyo,7.14
412,Ticket to Ride: Märklin,7.41
167,Wingspan Asia,8.35
168,Welcome To...,7.54
338,Antiquity,7.86
339,Burgle Bros.,7.45
413,In the Year of the Dragon,7.30
414,Bruxelles 1893,7.61
169,Final Girl,8.35
170,Nemesis: Lockdown,8.38
171,Revive,8.17
340,Dead of Winter: The Long Night,7.54
341,The King Is Dead: Second Edition,7.66
415,Arkham Horror,7.24
416,London (Second Edition),7.52
172,War Chest,7.86
173,Jaipur,7.49
342,Above and Below,7.37
417,Tiny Towns,7.24
174,Radlands,7.89
175,Chaos in the Old World,7.66
343,Small World,7.21
344,Arboretum,7.30
418,Unmatched: Robin Hood vs. Bigfoot,7.94
419,San Juan (Second Edition),7.46
176,Dominion (Second Edition),7.85
177,War of the Ring,7.77
345,Skull King,7.52
346,Bonfire,7.68
420,Azul: Stained Glass of Sintra,7.32
421,Dice Forge,7.23
178,This War of Mine: The Board Game,7.78
179,Descent: Journeys in the Dark (Second Edition),7.62
347,Nusfjord,7.64
348,Merchants & Marauders,7.40
422,Civilization,7.50
423,Codenames: Pictures,7.20
180,Unmatched: Cobble & Fog,8.01
349,Chinatown,7.43
350,Neuroshima Hex! 3.0,7.39
424,Blitzkrieg!: World War Two in 20 Minutes,7.61
425,Skull,7.19
501,Fantastic Factories,7.45
181,Azul: Summer Pavilion,7.65
182,Memoir '44,7.54
183,Clank!: Catacombs,8.32
